id,scientific_name,common_name,lf_code,nursery_available
112,Calotis scabiosifolia,Rough Burr-daisy,MH,
113,Calytrix tetragona,Common Fringe-myrtle,MS,
114,Carex appressa,Tall Sedge,LTG,
115,Carex breviculmis,Common Grass-sedge,MTG,
116,Cassinia aculeata,Common  Cassinia,MS,
117,Cassinia arcuata,Drooping Cassinia,MS,
118,Cassinia longifolia,Shiny Cassinia,MS,
119,Cassytha glabella,Slender Dodder-laurel,SC,
120,Cassytha melantha,Coarse Dodder-laurel,SC,
121,Cassytha phaeolasia,Rusty Dodder-laurel,SC,
122,Cassytha pubescens s.s.,Downy Dodder-laurel,SC,
123,Centrolepis aristata,Pointed Centrolepis,TTG,
124,Centrolepis polygyna,Wiry Centrolepis,TTG,
125,Centrolepis strigosa ssp. strigosa,Hairy Centrolepis,TTG,
126,Chamaesyce  drummondii,Flat Spurge,SH,
127,Chamaesyce drummondii,Flat Spurge,SH,
128,Cheilanthes  austrotenuifolia,Green Rock-fern,GF,
129,Cheilanthes austrotenuifolia,Green Rock-fern,GF,
130,Cheilanthes sieberi ssp. sieberi,Narrow Rock-fern,GF,
131,Cheiranthera cyanea var. cyanea,Blue Finger-flower,SS,
132,Chenopodium  nitrariaceum,Nitre Goosefoot,MS,
133,Chiloglottis gunnii s.l.,Common Bird-orchid,SH,
134,Chloris truncata,Windmill Grass,MTG,
135,Chrysocephalum apiculatum s.l.,Common Everlasting,MH,
136,Chrysocephalum semipapposum,Clustered Everlasting,LH,
137,Chysocephalum  apiculatum,Common Everlasting,MH,
138,Clematis aristata,Mountain  Clematis,SC,
139,Clematis microphylla,Small-leaved Clematis,SC,
140,Comesperma volubile,Love Creeper,SC,
141,Convolvulus  erubescens,Pink Bindweed,SC,
142,Convolvulus erubescens spp. agg.,Pink Bindweed,SC,
143,Coprosma hirtella,Rough Coprosma,MS,
144,Coprosma quadrifida,Prickly Currant-bush,MS,
145,Correa reflexa,Common Correa,MS,
146,Craspedia glauca spp. agg.,Common Billy-buttons,MH,
147,Crassula colorata,Dense Crassula,MH,
148,Crassula decumbens var. decumbens,Spreading  Crassula,MH,
149,Crassula sieberiana,Sieber Crassula,SH,
150,Crassula sieberiana ssp. sieberiana,Sieber Crassula,MH,
151,Cyanicula caerulea,Blue Fairy,MH,
152,Cymbonotus  preissianus,Austral Bear's-ear,SH,
153,Cymbonotus preissianus,Austral Bear's-ear,SH,
154,Cynoglossum suaveolens,Sweet Hound's-tongue,MH,
155,Dampiera stricta,Blue Dampiera,SS,
156,Daucus glochidiatus,Australian Carrot,MH,
157,Daucus glochidiatus Leptorhynchos squamatus,Australian Carrot Scaly Buttons,MH MH,
158,Daviesia leptophylla,Narrow-leaf Bitter-pea,MS,
159,Daviesia ulicifolia,Gorse Bitter-pea,MS,
160,Daviesia ulicifolia Hovea heterophylla,Gorse Bitter-pea Common Hovea,MS SS,
161,Derwentia derwentiana,Derwent Speedwell,LH,
162,Derwentia perfoliata,Digger's Speedwell,LH,
163,Desmodium varians,Slender Tick-trefoil,SH,
164,Deyeuxia frigida,Forest Bent-grass,LTG,
165,Deyeuxia quadriseta,Reed Bent-grass,LTG,
166,Dianella caerulea var. caerulea,Paroo Lily,MTG,
167,Dianella longifolia,Pale Flax-lily,MTG,
168,Dianella revoluta s.l.,Black-anther  Flax-lily,MTG,
169,Dianella revoluta s.s.,Black-anther  Flax-lily,MTG,
170,Dianella revoluta var. revoluta s.l.,Black-anther Flax-lily,MTG,
171,Dianella tasmanica,Tasman  Flax-lily,MTG,
172,Dichelachne crinita,Long-hair Plume-grass,MTG,
173,Dichelachne sciurea spp. agg.,Short-hair  Plume-grass,MTG,
174,Dichondra repens,Kidney-weed,SH,
175,Dillwynia cinerascens s.l.,Grey Parrot-pea,SS,
176,Dillwynia glaberrima,Smooth Parrot-pea,SS,
177,Dillwynia phylicoides,Small-leaf Parrot-pea,SS,
178,Dillwynia sericea s.l.,Showy Parrot-pea,SS,
179,Discaria pubescens,Australian Anchor Plant,MS,
180,Disphyma crassifolium ssp. clavellatum,Rounded Noon-flower,SH,
181,Distichlis distichopylla,Australian Salt-grass,MNG,
182,Dodonaea viscosa ssp. cuneata,Wedge-leaf Hop-bush,MS,
183,Drosera glanduligera,Scarlet  Sundew,SH,
184,Drosera macrantha,Climbing  Sundew,SC,
185,Drosera peltata ssp. auriculata,Tall Sundew,MH,
186,Drosera peltata ssp. peltata,Pale Sundew,MH,
187,Drosera whittakeri ssp. aberrans,Scented  Sundew,SH,
188,Echinopogon ovatus,Hedgehog Grass,MNG,
189,Einadia hastata,Saloop,MH,
190,Einadia nutans ssp. nutans,Nodding Saltbush,MH,
191,Eleocharis spp.,Spike-sedge,MNG,
192,Elymus scaber var. scaber,Common  Wheat-grass,MTG,
193,Empodisma minus,Spreading Rope-rush,MNG,
194,Enteropogon acicularis,Windmill Grass,MTG,
195,Epacris impressa,Common  Heath,MS,
196,Epilobium billardierianum,Variable  Willow-herb,LH,
197,Eragrostis australasica,Cane Grass,LNG,
198,Eragrostis infecunda,Barren Cane grass,MNG,
199,Eryngium ovinum,Blue Devil,LH,
200,Euchiton collinus s.s.,Creeping  Cudweed,MH,
201,Eutaxia microphylla,Common Eutaxia,SS,
202,Eutaxia microphylla var. microphylla,Common Eutaxia,SS,
203,Exocarpos cupressiformis,Cherry Ballart,T,
204,Exocarpos strictus,Pale-fruit Ballart,MS,
205,Ficinia nodosa,Knobby Club-sedge,MNG,
206,Gahnia radula,Thatch Saw-sedge,LNG,
207,Gahnia sieberiana,Red-fruit Saw-sedge,LTG,
208,Galium australe,Tangled Bedstraw,SC,
209,Geranium potentilloides,Cinquefoil  Cranesbill,MH,
210,Geranium retrorsum s.l.,Grassland Crane’s-bill,MH,
211,Geranium solanderi,Austral Cranesbill,MH,
212,Geranium solanderi s.l.,Austral Cranesbill,MH,
213,Glischrocaryon behrii,Golden Pennants,MH,
214,Glossodia major,Wax-lip Orchid,MH,
215,Glycine clandestina,Twining Glycine,SC,
216,Glycine tabacina s.l.,Variable Glycine,SC,
217,Gompholobium ecostatum,Dwarf  Wedge-pea,PS,
218,Gonocarpus  tetragynus,Common Raspwort,MH,
219,Gonocarpus humilis,Shade Raspwort,MH,
220,Gonocarpus tetragynus,Common  Raspwort,MH,
221,Gonocarpus tetragynus Plantago hispida,Common Raspwort Hairy Plantain,MH MH,
222,Gonocarpus teucrioides s.l.,Germander Raspwort,MH,
223,Goodenia geniculata,Bent  Goodenia,MH,
224,Goodenia hederacea,Ivy Goodenia,MH,
225,Goodenia lanata,Trailing Goodenia,SH,
226,Goodenia ovata,Hop Goodenia,MS,
227,Goodenia pinnatifida,Cut-leaf Goodenia,MH,
228,Goodenia pusilliflora,Small-flower Goodenia,MH,
