id,name,commonname,lf,match_strategy,pollination_syndrome,pollination_system,flower_colour,flowering_time,flower_diameter,fruit_type,fruit_colour,fruit_fleshiness,fruiting_time,dispersal_syndrome,dispersers,plant_growth_form,plant_height,woodiness,leaf_phenology
111,Calotis hispidula,Hairy Burr-daisy,SH,exact_taxon,insect,,yellow_orange,"nnnnnyyyyynn, nnnnyyyyyynn",,achene,brown red,dry,,"anemochory, epizoochory, zoochory","mammals, vertebrates, wind",herb,0.065775657,,
112,Calotis scabiosifolia,Rough Burr-daisy,MH,exact_taxon,insect,biotic_unspecialised,white_cream,"nnnnnnnnnnnn, nnnnnnnyyyyn",,achene,brown red,dry,,"anemochory, epizoochory","mammals, wind",herb,0.45,,
113,Calytrix tetragona,Common Fringe-myrtle,MS,exact_taxon,"bird insect, insect",,blue_purple green pink white_cream,"nnnnnnnnyyyn, nnnnnnnyyynn, nnnnnnyyyyyy, yynnnnnnyyyn",,nut,,dry,,anemochory,wind,shrub,2.0,woody,
114,Carex appressa,Tall Sedge,LTG,exact_taxon,"insect wind, vertebrate, wind",biotic_unspecialised,green red_brown white_cream yellow_orange,"nnnnnnnnyynn, nnnnnnnnyyyn, yynnnnnnyyyy, yyyynnnnyyyy",,"nut, nut utricle, utricle",brown green yellow,dry,,"barochory, hydrochory, hydrochory myrmecochory, undefined, zoochory","ants water, invertebrates, water","graminoid, graminoid herb, herb, tussock",1.0,herbaceous,
115,Carex breviculmis,Common Grass-sedge,MTG,exact_taxon,"insect wind, vertebrate",biotic_unspecialised,green red_brown white_cream yellow_orange,"nnnnnnnnnynn, nnnyyyynnnnn, yynnnnnnyyyy",,"nut, nut utricle, utricle",brown green yellow,dry,,"barochory, hydrochory myrmecochory, undefined, zoochory","ants water, invertebrates","graminoid, graminoid herb, herb, tussock",0.2,herbaceous,
116,Cassinia aculeata,Common  Cassinia,MS,exact_taxon,insect,biotic_unspecialised,white_cream,"yyynnnnnnnny, yyynnnnnnnyy, yyyyynnnnnny",,achene,brown,dry,,anemochory,wind,shrub,2.6,woody,
117,Cassinia arcuata,Drooping Cassinia,MS,exact_taxon,"abiotic, insect",biotic_unspecialised,red_brown white_cream,"yyyynnnnnnnn, yyyyynnnnnyy, yyyyynnnyyyy",,achene,,dry,,anemochory,wind,"shrub, shrub tree",2.0,woody,
118,Cassinia longifolia,Shiny Cassinia,MS,exact_taxon,insect,biotic_unspecialised,white_cream,"yyynnnnnnnyy, yyyyynnnnnny",,achene,,dry,,anemochory,wind,shrub,3.0,woody,
119,Cassytha glabella,Slender Dodder-laurel,SC,exact_taxon,insect,biotic_unspecialised,,"nnnnnnnnnnnn, nnnnnyyyyynn, yyynnnnnnnyy, yyyyyyyyyyyy",,"berry, drupe","green orange red yellow, green red yellow, green yellow",fleshy,yyyyyyyyyyyy,"endozoochory, zoochory","birds, birds vertebrates, vertebrates","climber, climber herb, climber_herbaceous, climber_herbaceous herb, herb",,herbaceous,evergreen
120,Cassytha melantha,Coarse Dodder-laurel,SC,exact_taxon,insect,biotic_unspecialised,green,"nnnnnnyyyyyn, nnnnnyyynnnn, nnnnnyyyyynn, nnnnnyyyyyyy, yyyyyyyyyyyy",,drupe,"black cream green, cream green white, green",fleshy,nnnnnnnnyyyy,endozoochory,"birds, vertebrates","climber, climber herb, climber_herbaceous, herb, tree",,herbaceous,evergreen
121,Cassytha phaeolasia,Rusty Dodder-laurel,SC,exact_taxon,insect,,,"yynnnnnnnnnn, yyynnnnnyyyy",,drupe,red,fleshy,,endozoochory,"birds, vertebrates","climber, climber_herbaceous, climber_herbaceous herb, herb",,,evergreen
122,Cassytha pubescens s.s.,Downy Dodder-laurel,SC,via_original_name,insect,,,yynnnnnnnnny,,,,,,endozoochory,birds,climber,,,
123,Centrolepis aristata,Pointed Centrolepis,TTG,exact_taxon,"vertebrate, wind",abiotic,red_brown,"nnnnnnnnnyyy, nnnnnnnnyyyn, nnnnnnnyyynn, nnnnnnnyyyyy",,follicle,,dry,,"anemochory, anemochory epizoochory hydrochory zoochory, barochory, undefined",birds vertebrates water wind,"graminoid, graminoid herb, herb, tussock",0.0385,herbaceous,
124,Centrolepis polygyna,Wiry Centrolepis,TTG,exact_taxon,"vertebrate, wind",abiotic,red_brown,"nnnnnnnnyyyy, nnnnnnyyyyyn, nnnnnnyyyyyy, nnnnyyyyyynn",,follicle,,dry,,"anemochory epizoochory hydrochory zoochory, barochory, undefined",birds vertebrates water wind,"graminoid, graminoid herb, herb, tussock",0.06,herbaceous,
125,Centrolepis strigosa ssp. strigosa,Hairy Centrolepis,TTG,via_original_name,,,,,,,,,,,,,,,
126,Chamaesyce  drummondii,Flat Spurge,SH,species_level_fallback,,biotic_unspecialised,,,,,,dry,,barochory,,herb,0.02,herbaceous,
127,Chamaesyce drummondii,Flat Spurge,SH,via_original_name,,biotic_unspecialised,,,,,,dry,,barochory,,herb,0.02,herbaceous,
128,Cheilanthes  austrotenuifolia,Green Rock-fern,GF,species_level_fallback,abiotic,abiotic,,nyyyyyyyyynn,,,,,,"anemochory, barochory",wind,"fern, fern herb, herb",0.118158808,,
129,Cheilanthes austrotenuifolia,Green Rock-fern,GF,exact_taxon,abiotic,abiotic,,nyyyyyyyyynn,,,,,,"anemochory, barochory",wind,"fern, fern herb, herb",0.118158808,,
130,Cheilanthes sieberi ssp. sieberi,Narrow Rock-fern,GF,species_level_fallback,,,,,,,,,nnnnnnnnyyyn,barochory,,"fern, fern herb, herb",0.35,,
131,Cheiranthera cyanea var. cyanea,Blue Finger-flower,SS,via_original_name,,,,,,,,,,,,,,,
132,Chenopodium  nitrariaceum,Nitre Goosefoot,MS,species_level_fallback,"abiotic, wind",,red_brown,yynnnnnyyyyy,,nutlet,white,dry,,"endozoochory, zoochory","invertebrates, vertebrates",shrub,2.0,,
133,Chiloglottis gunnii s.l.,Common Bird-orchid,SH,via_original_name,insect,,,yynnnnnnnnny,,,,,,anemochory,wind,herb,,,
134,Chloris truncata,Windmill Grass,MTG,exact_taxon,"abiotic, self wind",abiotic,blue_purple,yyyyyynnnnyy,,caryopsis,yellow,dry,,"anemochory, anemochory epizoochory, anemochory zoochory, barochory, epizoochory",wind,"graminoid, graminoid herb, herb, tussock",0.4,,
135,Chrysocephalum apiculatum s.l.,Common Everlasting,MH,via_original_name,,,,,,,,,,,,,,,
136,Chrysocephalum semipapposum,Clustered Everlasting,LH,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnnnnn, nnnnnnnnyyyy, yyyyynnnyyyy",,achene,,dry,,anemochory,wind,"herb, herb subshrub",0.6,herbaceous,
137,Chysocephalum  apiculatum,Common Everlasting,MH,manual_typo_fix,insect,biotic_unspecialised,pink red_brown white_cream yellow_orange,"nnnnnnnnnnnn, nnnnnnnnnnyn, nnnnnnnnnyyy, nnnnnnnnyyyn, yynnnnnnyyyy, yyyyyyyyyyyy",,achene,,dry,,anemochory,wind,herb,0.6,herbaceous,
138,Clematis aristata,Mountain  Clematis,SC,exact_taxon,insect,biotic_unspecialised,white_cream,"nnnnnnnnnynn, nnnnnnnnnyyn, nnnnnnnnyyyn, nnnnnnnnyyyy, ynnnnnnnyyyy",,achene,brown,dry,yyyynnnnnnny,anemochory,wind,"climber, climber_herbaceous, climber_woody",10.5,woody,evergreen
139,Clematis microphylla,Small-leaved Clematis,SC,exact_taxon,insect,biotic_unspecialised,white_cream,"nnnnnnnyyyyn, nnnnnnyyyynn, nnnnnnyyyyyy, nnnnnyyyynnn",3.8,achene,brown,dry,yynnnnnnnnyy,anemochory,wind,"climber, climber_woody",5.0,woody,evergreen
140,Comesperma volubile,Love Creeper,SC,exact_taxon,insect,biotic_unspecialised,"blue_purple, blue_purple pink white_cream, pink, white_cream","nnnnnnnyyyyn, nnnnnnyyyyyy, nnnnnyyyyyyn, nnnnyyyyyynn, yynnnnnyyyyy",,capsule,,dry,,"anemochory, barochory myrmecochory","ants passive, wind","climber, climber herb, climber_herbaceous, climber_herbaceous shrub, climber_herbaceous subshrub, climber_woody, herb",2.0,woody,evergreen
141,Convolvulus  erubescens,Pink Bindweed,SC,species_level_fallback,insect,biotic_unspecialised,pink,"nnnnnnnnnnyn, ynnnnnnnnnyy, yynnnnnnyyyy, yynnnnnyyyyy",,capsule,,dry,,"barochory, undefined, zoochory","invertebrates, passive","climber, climber_herbaceous herb, herb",0.15,herbaceous,
142,Convolvulus erubescens spp. agg.,Pink Bindweed,SC,via_original_name,,,,,,,,,,,,,,,
143,Coprosma hirtella,Rough Coprosma,MS,exact_taxon,"insect, wind",,green,"nnnnnnnyyyyy, yynnnnnnnnny",,drupe,orange red,fleshy,,"endozoochory, zoochory","birds, vertebrates",shrub,2.0,woody,
144,Coprosma quadrifida,Prickly Currant-bush,MS,exact_taxon,"insect, wind",biotic_unspecialised,green,"nnnnnnnnyyyn, yynnnnnnnnny",,drupe,"orange red, red",fleshy,,"endozoochory, zoochory","birds, vertebrates","shrub, tree",4.0,woody,evergreen
145,Correa reflexa,Common Correa,MS,exact_taxon,"insect, vertebrate",biotic_unspecialised,green,"nnnnyyyyynnn, nnnnyyyyyynn, nnnyyyyyynnn, nnyyyyyyyynn, yyyyynnyyyyy",,"follicle, mericarp",green,dry,yyynnnnnnyyy,"ballistic myrmecochory, endozoochory, myrmecochory, zoochory","ants, invertebrates, vertebrates",shrub,1.5,woody,evergreen
146,Craspedia glauca spp. agg.,Common Billy-buttons,MH,via_original_name,insect,,,nnnnnnnnyynn,,,,,,anemochory,wind,herb,,,
147,Crassula colorata,Dense Crassula,MH,exact_taxon,"abiotic, insect",abiotic,yellow_orange,"nnnnnnnyyynn, nnnnnnnyyyyn",,follicle,,dry,,"anemochory, anemochory barochory","passive wind, wind",herb,0.075,,
148,Crassula decumbens var. decumbens,Spreading  Crassula,MH,exact_taxon,abiotic,,,nnnnyyyyyynn,,follicle,,dry,,"anemochory, barochory",wind,herb,0.1,,
149,Crassula sieberiana,Sieber Crassula,SH,exact_taxon,"abiotic, insect",abiotic,yellow_orange,"nnnnnnnnyyyn, yyyyyynnnyyy, yyyyyynnyyyy",,"capsule, follicle",,dry,,"anemochory, anemochory barochory, barochory","passive wind, wind",herb,0.15000000000000002,herbaceous,
150,Crassula sieberiana ssp. sieberiana,Sieber Crassula,MH,species_level_fallback,"abiotic, insect",abiotic,yellow_orange,"nnnnnnnnyyyn, yyyyyynnnyyy, yyyyyynnyyyy",,"capsule, follicle",,dry,,"anemochory, anemochory barochory, barochory","passive wind, wind",herb,0.15000000000000002,herbaceous,
151,Cyanicula caerulea,Blue Fairy,MH,exact_taxon,insect,biotic_unspecialised,blue_purple white_cream yellow_orange,"nnnnnnnyynnn, nnnnnnyyyynn, nnnnnyyyynnn",,capsule,,dry,,anemochory,wind,herb,0.125,,
152,Cymbonotus  preissianus,Austral Bear's-ear,SH,species_level_fallback,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnyynn, yyynnnnyyyyy",,achene,"black brown, brown",dry,,"anemochory, barochory, zoochory","invertebrates, wind",herb,0.10500000000000001,herbaceous,
153,Cymbonotus preissianus,Austral Bear's-ear,SH,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnyynn, yyynnnnyyyyy",,achene,"black brown, brown",dry,,"anemochory, barochory, zoochory","invertebrates, wind",herb,0.10500000000000001,herbaceous,
154,Cynoglossum suaveolens,Sweet Hound's-tongue,MH,via_original_name,insect,biotic_unspecialised,blue_purple white_cream,"yynnnnnnyyyy, yyyyyyyyyyyy",,mericarp,brown,dry,yynnnnnnnnny,"epizoochory, myrmecochory, zoochory",mammals,herb,0.4,herbaceous,
155,Dampiera stricta,Blue Dampiera,SS,exact_taxon,insect,,red_brown,"nnnnnnnyyyyy, nnnnyynnnnnn, ynnnnnnyyyyy",,nut,,dry,ynnnnnnyyyyy,"myrmecochory, zoochory","ants, invertebrates","herb, herb shrub, shrub, subshrub",0.6,"herbaceous, woody",evergreen
156,Daucus glochidiatus,Australian Carrot,MH,exact_taxon,insect,biotic_unspecialised,"pink, pink white_cream, white_cream","nnnnnnnnyyyn, nnnnnnnyyyyn, nnnnyyyyyynn, ynnnnnnyyyyy, yynnnnnnyyyy",,mericarp,purple,dry,,"epizoochory, epizoochory myrmecochory, zoochory","ants, mammals, vertebrates",herb,0.2692270435,herbaceous,
158,Daviesia leptophylla,Narrow-leaf Bitter-pea,MS,exact_taxon,"bee, insect",biotic_unspecialised,yellow_orange,"nnnnnnnnnyyy, nnnnnnnyyyyy",,legume,brown,dry,ynnnnnnnnnyy,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","shrub, shrub tree",2.0,woody,
159,Daviesia ulicifolia,Gorse Bitter-pea,MS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnnnny, nnnnnnnnynnn, nnnnnnnynnnn, nnnnnnnyyyyn, nnnnnnnyyyyy, nnnnyyyyynnn, nnnynnnnnnnn, ynnnnnnyyyyy",,legume,brown,dry,ynnnnnnnyyyy,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","shrub, shrub tree, subshrub",2.0,woody,
161,Derwentia derwentiana,Derwent Speedwell,LH,via_original_name,insect,,blue_purple white_cream,yynnnnnnnnny,,,,dry,,barochory,,herb,1.5,herbaceous,
162,Derwentia perfoliata,Digger's Speedwell,LH,via_original_name,insect,,blue_purple,yynnnnnnnnny,,,,,,barochory,,"herb, herb shrub",1.08,,
163,Desmodium varians,Slender Tick-trefoil,SH,exact_taxon,insect,biotic_unspecialised,pink white_cream,"nnnnnnnnnnnn, nnnynnnnnnnn, yynnnnnnnnny, yyyyynnnyyyy, yyyyyyyyyyyy",,legume,,dry,yyyyynnnnnny,"barochory, epizoochory, epizoochory myrmecochory, zoochory","ants, mammals","climber, herb, subshrub, tree",0.47,,
164,Deyeuxia frigida,Forest Bent-grass,LTG,exact_taxon,abiotic,,,"yynnnnnnyyyy, yyyynnnnnnny",,caryopsis,,dry,,epizoochory,mammals,"graminoid herb, herb, tussock",1.5,herbaceous,
165,Deyeuxia quadriseta,Reed Bent-grass,LTG,exact_taxon,"abiotic, self wind",abiotic,,"yynnnnnnyyyy, yyyyynnnnyyy",,caryopsis,,dry,,"anemochory, epizoochory, undefined","mammals, wind","graminoid, graminoid herb, herb, tussock",1.2,herbaceous,
166,Dianella caerulea var. caerulea,Paroo Lily,MTG,exact_taxon,insect,,,"ynnnnnnnyyyy, yynnnnnnyyyy",,berry,blue,,,endozoochory,birds,"herb, tussock",0.5,,evergreen
167,Dianella longifolia,Pale Flax-lily,MTG,exact_taxon,insect,,"blue_purple, green, white_cream, yellow_orange","ynnnnnnnyyyy, yynnnnnnyyyy, yyynnnnnnnnn",1.75,berry,blue,fleshy,,"endozoochory, endozoochory myrmecochory, epizoochory, zoochory","ants vertebrates, birds","herb, tussock",1.15,herbaceous,evergreen
168,Dianella revoluta s.l.,Black-anther  Flax-lily,MTG,via_original_name,,,,,,,,,,,,,,,
169,Dianella revoluta s.s.,Black-anther  Flax-lily,MTG,species_level_fallback,insect,biotic_unspecialised,blue_purple red_brown yellow_orange,"nnnnnnnnyynn, nnnnnnnyyyyn, ynnnnnnnnyyy, yynnnnnnyyyy, yyyynnnyyyyy",,berry,blue,fleshy,,"endozoochory, endozoochory myrmecochory, epizoochory, zoochory","ants vertebrates, birds","graminoid, graminoid_not_tussock, herb, tussock",0.8,herbaceous,evergreen
170,Dianella revoluta var. revoluta s.l.,Black-anther Flax-lily,MTG,via_original_name,insect,,,ynnnnnnnyyyy,,,,,,endozoochory,birds,graminoid_not_tussock,,,
171,Dianella tasmanica,Tasman  Flax-lily,MTG,exact_taxon,insect,biotic_unspecialised,"blue_purple, yellow_orange","nnnnnnnnnyyy, ynnnnnnnnnny, yynnnnnnnnny, yynnnnnnnyyy",1.5499999999999998,berry,"blue, purple",fleshy,,endozoochory,birds,"graminoid, graminoid_not_tussock, herb, tussock",0.9,herbaceous,evergreen
172,Dichelachne crinita,Long-hair Plume-grass,MTG,exact_taxon,"abiotic, self wind",abiotic,green,"nnnnnnnnyyyn, yynnnnnnnnyy, yyynnnnnnyyy",,caryopsis,green,dry,,"anemochory, epizoochory","mammals, wind","graminoid, graminoid herb, herb, tussock",0.85,herbaceous,
173,Dichelachne sciurea spp. agg.,Short-hair  Plume-grass,MTG,via_original_name,abiotic,,,yynnnnnnnyyy,,,,,,epizoochory,mammals,tussock,1.0,,
174,Dichondra repens,Kidney-weed,SH,exact_taxon,insect,,"green, green yellow_orange, white_cream, yellow_orange","nnnnnnnnynnn, nnnnnnnnyynn, nnnnnnnnyyyy, yynnnnnnyyyy, yyyynnnnyyyy",,capsule,,dry,yyyynnnnyyyy,"barochory, undefined, zoochory","invertebrates, passive",herb,0.05575,herbaceous,evergreen
175,Dillwynia cinerascens s.l.,Grey Parrot-pea,SS,via_original_name,insect,,,nnnnnnnnyyyn,,,,,,"undefined, zoochory",invertebrates,shrub,1.0,,
176,Dillwynia glaberrima,Smooth Parrot-pea,SS,exact_taxon,insect,biotic_unspecialised,yellow_orange,ynnnnnnyyyyy,,legume,brown,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates",shrub,2.0,woody,
177,Dillwynia phylicoides,Small-leaf Parrot-pea,SS,exact_taxon,insect,,yellow_orange,nnnnnnnnyyyy,,legume,,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates",shrub,1.5,woody,
178,Dillwynia sericea s.l.,Showy Parrot-pea,SS,species_level_fallback,insect,biotic_unspecialised,yellow_orange,nnnnnnnnyyyy,,legume,brown,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates",shrub,1.0,woody,
179,Discaria pubescens,Australian Anchor Plant,MS,exact_taxon,insect,,white_cream,"nnnnnnnnnyyn, yynnnnnnnnny",0.3,capsule,brown,dry,,barochory,,shrub,1.0,woody,
180,Disphyma crassifolium ssp. clavellatum,Rounded Noon-flower,SH,species_level_fallback,insect,,"blue_purple, blue_purple white_cream, pink","ynnnnnnnnyyy, yyyyynnyyyyy",3.5,capsule,red,dry,yyyyyyyynnny,barochory,passive,"herb, shrub, subshrub",0.3,"herbaceous, woody",
181,Distichlis distichopylla,Australian Salt-grass,MNG,unmatched,,,,,,,,,,,,,,,
182,Dodonaea viscosa ssp. cuneata,Wedge-leaf Hop-bush,MS,via_original_name,,,,,,,,,,,,,,,
183,Drosera glanduligera,Scarlet  Sundew,SH,exact_taxon,"insect, insect self",biotic_unspecialised,yellow_orange,"nnnnnnnnyyyn, nnnnnnnyyyyn, nnnnnyyyyyyn, ynnnnnnyyyyy",,capsule,,dry,nnnnnnnnyyyn,"anemochory, anemochory barochory, barochory, zoochory","invertebrates, passive wind",herb,0.025,,
184,Drosera macrantha,Climbing  Sundew,SC,exact_taxon,insect self,biotic_unspecialised,,"nnnnnnnnnynn, nnnnnnnyyyyy, nnnnnyyyyyyn",,capsule,,dry,nnnnnnnyyyyy,"anemochory, anemochory barochory",passive wind,"climber, climber herb, herb",1.25,herbaceous,evergreen
185,Drosera peltata ssp. auriculata,Tall Sundew,MH,species_level_fallback,"insect, insect self",biotic_unspecialised,,"nnnnnnnnnyyy, nnnnnnnnyyyy, ynnnnnnyyyyy, yynnnnnnnnyy, yynnnnnnyyyy",,capsule,,dry,"nnnnnnnnnyyy, yynnnnnnnnyy","anemochory, anemochory barochory, barochory, zoochory","invertebrates, passive wind",herb,0.5,herbaceous,evergreen
186,Drosera peltata ssp. peltata,Pale Sundew,MH,via_original_name,,,,,,,,,,,,,,,
187,Drosera whittakeri ssp. aberrans,Scented  Sundew,SH,via_original_name,,,,,,,,,,barochory,,,0.03,,
188,Echinopogon ovatus,Hedgehog Grass,MNG,exact_taxon,"abiotic, self wind, wind",abiotic,green,"nnnnnnnnyyyn, ynnnnnnnnyyy, ynnnnnnyyyyy",,caryopsis,,dry,,"anemochory, epizoochory, epizoochory myrmecochory, zoochory","ants, mammals, wind","graminoid, graminoid herb, graminoid_not_tussock, herb, tussock",0.7,herbaceous,
189,Einadia hastata,Saloop,MH,exact_taxon,"abiotic, wind",abiotic,,"nnyyyyynnnnn, yyynnnnnnnyy",,"berry, nutlet",black,"dry, fleshy","nnnynnynnnnn, nnyynnnnnnnn, yyyyyyynnnyy",endozoochory,"birds, vertebrates","herb, herb shrub, shrub, subshrub",0.2,,
190,Einadia nutans ssp. nutans,Nodding Saltbush,MH,via_original_name,,,,,,,,,,endozoochory,,,,,
191,Eleocharis spp.,Spike-sedge,MNG,via_original_name,abiotic,,,yynnnnnnyyyy,,,,,,epizoochory,birds,graminoid_not_tussock,,,
192,Elymus scaber var. scaber,Common  Wheat-grass,MTG,via_original_name,,,,,,,,,,epizoochory,,graminoid,0.9500000000000001,,
193,Empodisma minus,Spreading Rope-rush,MNG,exact_taxon,"abiotic, wind",abiotic,,"nnnnnnnnyyyn, yynnnnnnnnny, yyynnnnyyyyy",,nut,brown,dry,,"anemochory, barochory, zoochory","invertebrates, wind","geophyte, graminoid, graminoid herb, graminoid_not_tussock, herb",1.469,herbaceous,evergreen
194,Enteropogon acicularis,Windmill Grass,MTG,exact_taxon,"abiotic, self wind, wind",,,"yynnnnnnnnny, yyyynnnnyyyy",,caryopsis,,dry,,anemochory,wind,"graminoid, graminoid herb, graminoid tussock, herb, tussock",0.5,,
195,Epacris impressa,Common  Heath,MS,exact_taxon,"bird insect, insect",biotic_unspecialised,pink white_cream,yyyyyyyyyyyy,,capsule,green,dry,,"barochory, zoochory","invertebrates, passive",shrub,1.2,woody,
196,Epilobium billardierianum,Variable  Willow-herb,LH,via_original_name,insect,,blue_purple pink white_cream,"yynnnnnnnnny, yynnnnnnyyyy, yyynnnnnnnyy",,capsule,,dry,,anemochory,wind,herb,0.65,herbaceous,evergreen
197,Eragrostis australasica,Cane Grass,LNG,exact_taxon,"abiotic, self wind",,,"yyyyynnnyyyy, yyyyyyyyyyyy",,caryopsis,brown,dry,,"barochory, hydrochory","passive, water","graminoid, graminoid herb, graminoid_not_tussock",2.7,,
198,Eragrostis infecunda,Barren Cane grass,MNG,exact_taxon,"abiotic, self wind",abiotic,,"yynyyyyyyyyy, yyyynnnnyyyy",,caryopsis,,dry,,"barochory, epizoochory","birds, passive","graminoid, graminoid herb, graminoid_not_tussock, herb",0.7,,
199,Eryngium ovinum,Blue Devil,LH,exact_taxon,insect,biotic_unspecialised,blue_purple green,"ynnnnnnnnnyy, yynnnnnyyyyy",,mericarp,,dry,,"barochory, epizoochory, undefined, zoochory","abiotic animals, mammals",herb,0.6,herbaceous,
200,Euchiton collinus s.s.,Creeping  Cudweed,MH,species_level_fallback,,biotic_unspecialised,,,,,,dry,,anemochory,,herb,0.32499999999999996,herbaceous,
201,Eutaxia microphylla,Common Eutaxia,SS,exact_taxon,insect,biotic_unspecialised,blue_purple yellow_orange,"nnnnnnnnyyyn, nnnnnnnyyyyn",,legume,,dry,,"endozoochory, myrmecochory, zoochory","ants, invertebrates, vertebrates",shrub,0.8049999999999999,woody,
202,Eutaxia microphylla var. microphylla,Common Eutaxia,SS,via_original_name,,,,,,,,,,,,,,,
203,Exocarpos cupressiformis,Cherry Ballart,T,exact_taxon,insect,abiotic,yellow_orange,"yynnnnnnnyyy, yyyyynnnnnny, yyyyynnnnyyy",,drupe,brown green,fleshy,"nnnnnnnnnnyn, ynynnnnnnyyn, yynnnnnnnyyy","endozoochory, zoochory","birds, vertebrates","shrub, shrub tree, tree",8.0,woody,evergreen
204,Exocarpos strictus,Pale-fruit Ballart,MS,exact_taxon,insect,abiotic,white_cream,"nnnnnnnnnnnn, nnnnnnnyyyyn, nnnnnnyyyyyn, yyyyyyyyyyyy",,drupe,"black green, black green purple, green pink purple white",fleshy,yyynnnnnnnyy,endozoochory,"birds, vertebrates","shrub, shrub tree, tree",3.75,woody,evergreen
205,Ficinia nodosa,Knobby Club-sedge,MNG,exact_taxon,"abiotic, insect wind",abiotic,"red_brown, white_cream","nnnnnnnnyyyn, ynnnnnnnnyyy, yynnnnnnnyyy, yyyynnnyyyyy",,nut,"black brown, black brown white, brown",dry,,"barochory, undefined, zoochory","abiotic animals, invertebrates","graminoid, graminoid herb, graminoid_not_tussock, herb",1.0,herbaceous,
206,Gahnia radula,Thatch Saw-sedge,LNG,exact_taxon,"abiotic, wind",abiotic,red_brown,yynnnnnnyyyy,,nut,"brown white, brown white yellow",dry,,"barochory, endozoochory","birds, vertebrates","graminoid, graminoid herb, herb, tussock",1.5,herbaceous,
207,Gahnia sieberiana,Red-fruit Saw-sedge,LTG,exact_taxon,"abiotic, wind",abiotic,red_brown,"nnnnnnnnyyyy, yynnnnnnyyyy",,nut,"orange red, red",dry,,"barochory, endozoochory, undefined","birds, vertebrates","graminoid, graminoid herb, graminoid tussock, herb, tussock",2.25,herbaceous,
208,Galium australe,Tangled Bedstraw,SC,exact_taxon,insect,biotic_unspecialised,white_cream,yynnnnnnnnny,,mericarp,brown,dry,,epizoochory,mammals,"climber, herb",0.4,herbaceous,
209,Geranium potentilloides,Cinquefoil  Cranesbill,MH,exact_taxon,insect,biotic_unspecialised,pink yellow_orange,"nnnyyyyyyynn, yyynnnnnyyyy",,mericarp,brown,dry,,"ballistic zoochory, barochory, epizoochory","invertebrates vertebrates, mammals","climber, herb",0.5,herbaceous,
210,Geranium retrorsum s.l.,Grassland Crane’s-bill,MH,via_original_name,insect,,,ynnnnnyyyyyy,,,,,,"anemochory, epizoochory",mammals,herb,0.5,,
211,Geranium solanderi,Austral Cranesbill,MH,exact_taxon,insect,biotic_unspecialised,"blue_purple, pink, pink yellow_orange","nnnnnnnyyyyy, yynnnnnnyyyy, yyyyynnnnyyy",,mericarp,,dry,yyyyynnnnyyy,"anemochory, ballistic zoochory, epizoochory","invertebrates vertebrates, mammals","climber, herb",0.3,herbaceous,evergreen
212,Geranium solanderi s.l.,Austral Cranesbill,MH,via_original_name,,,,,,,,,,,,,,,
213,Glischrocaryon behrii,Golden Pennants,MH,exact_taxon,insect,,yellow_orange,nnnnnnnnyyyn,,nut,red yellow,dry,,"anemochory, zoochory","invertebrates, wind",herb,0.5,,
214,Glossodia major,Wax-lip Orchid,MH,exact_taxon,insect,biotic_unspecialised,"blue_purple, blue_purple white_cream yellow_orange","nnnnnnnyynnn, nnnnnnnyyynn, nnnnnnnyyyyn",3.75,capsule,,dry,,anemochory,wind,herb,0.225,,
215,Glycine clandestina,Twining Glycine,SC,exact_taxon,insect,biotic_unspecialised,blue_purple pink white_cream,"nnnnnnnnnyyn, nnnnnnnnynnn, nnnnnnnnyyyn, yynnnnnyyyyy, yyyyyyyyyyyy",,legume,,dry,,"barochory, barochory myrmecochory, zoochory","ants passive, invertebrates","climber, climber_herbaceous, herb, shrub",1.5,"herbaceous, woody",
216,Glycine tabacina s.l.,Variable Glycine,SC,via_original_name,insect,,,yynnnnnnyyyy,,,,,,zoochory,invertebrates,climber,,,
218,Gonocarpus  tetragynus,Common Raspwort,MH,species_level_fallback,"abiotic, wind",abiotic,green,ynnnnnnnyyyy,,nut,grey,dry,,"anemochory, anemochory hydrochory, barochory, undefined, zoochory","invertebrates, water wind, wind","herb, herb subshrub, shrub",0.3,herbaceous,
219,Gonocarpus humilis,Shade Raspwort,MH,exact_taxon,"abiotic, wind",abiotic,,"nnnnnnnnnynn, nnnnnnnnnyyy",,nut,grey purple,dry,,"anemochory, barochory, zoochory","invertebrates, wind",herb,0.4,herbaceous,
220,Gonocarpus tetragynus,Common  Raspwort,MH,exact_taxon,"abiotic, wind",abiotic,green,ynnnnnnnyyyy,,nut,grey,dry,,"anemochory, anemochory hydrochory, barochory, undefined, zoochory","invertebrates, water wind, wind","herb, herb subshrub, shrub",0.3,herbaceous,
